ID,Title,OPN,CON,EXT,AGR,NEU,Clusters,,,,,
0,Beowulf (Paperback),4.220882874,3.486606098,3.288794,3.6045876,2.5749808, ,,,,,
1,"The Empty Throne (The Saxon Stories, #8)",4.206796236,3.429954993,3.417428613,3.588087155,2.593873162, ,,,,,
2,Dunstan (Hardcover),4.214599233,3.486537012,3.352995687,3.54167373,2.492826565, ,,,,,
3,Avalon (Paperback),4.188759328,3.448679492,3.316585712,3.561501316,2.590729215, ,,,,,
4,"The Pagan Lord (The Saxon Stories, #7)",4.230980116,3.485212124,3.472851498,3.663167249,2.480057259, ,,,,,
5,The Arabian Nights (Paperback),4.243395358,3.460076808,3.203891648,3.555178658,2.611283841, ,,,,,
6,"The Flame Bearer (The Saxon Stories, #10)",4.15107307,3.473390569,3.368473739,3.650525806,2.621417056, ,,,,,
7,"Warriors of the Storm (The Saxon Stories, #9)",4.218612195,3.370284095,3.329330574,3.663299473,2.615678842, ,,,,,
8,"The Last Kingdom (The Saxon Stories, #1)",4.230753215,3.435746733,3.37692348,3.618979551,2.581860377, ,,,,,
9,Ø±Ø­Ù„Ø© Ø§Ø¨Ù† Ù�Ø¶Ù„Ø§Ù† Ø¥Ù„Ù‰ Ø¨Ù„Ø§Ø¯ Ø§Ù„ØªØ±Ùƒ ÙˆØ§Ù„Ø±ÙˆØ³ ÙˆØ§Ù„ØµÙ‚Ø§Ù„Ø¨Ø© (Paperback),4.255095146,3.468445395,3.380625711,3.596702587,2.609046052, ,,,,,
10,The Unbroken Line of the Moon (Sagan om Valhalla #4; Valhalla #1),4.181593334,3.425420952,3.262814264,3.563383198,2.63253601, ,,,,,
11,The Long Ships (Paperback),4.210256762,3.494036016,3.36566283,3.57594942,2.499235062, ,,,,,
12,Viking: The Green Land (Kindle Edition),4.187418517,3.450154049,3.339134897,3.645287419,2.604763747, ,,,,,
13,The Diary of Lady Murasaki (Paperback),4.144950509,3.49025308,3.375893654,3.63737971,2.491838185, ,,,,,
14,Shahnameh: The Persian Book of Kings (Hardcover),4.248460339,3.504355907,3.243552788,3.585109675,2.489472739, ,,,,,
15,Eaters of the Dead (Paperback),4.214537964,3.458296063,3.321361825,3.616434551,2.638491768, ,,,,,
16,The Plays Of Hrotswitha Of Gandersheim,4.236766362,3.355991226,3.375365546,3.569746496,2.625569207, ,,,,,
17,The Gossamer Years: The Diary of a Noblewoman of Heian Japan (Paperback),4.137345476,3.520680775,3.37406483,3.599320549,2.566246503, ,,,,,
18,The Tosa Diary (Paperback),4.184813922,3.55329697,3.381379476,3.6099804,2.512169748, ,,,,,
19,The Last Apocalypse (Paperback),4.154666891,3.488874916,3.310772568,3.563706069,2.569615468, ,,,,,
20,The Thrall's Tale,4.204642843,3.388605143,3.227139033,3.596458504,2.657077274, ,,,,,
21,The Tale of Genji (Paperback),4.26216057,3.500461481,3.376882933,3.641833465,2.50697615, ,,,,,
